127.0.0.1 - - [18/Feb/2021:11:57:22 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/module/module-util/js/url.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/ag-grid/ag-grid-community.min.noStyle.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 871562
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/toastr/toastr.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/module/module-home/js/home-scripts.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/module/js/adminlte.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 26469
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/module/module-util/js/service.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 10718
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1183
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1179
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/member.html HTTP/1.1" 200 25075
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/module/module-member/css/member-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:34 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/module/module-util/js/url.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/module/module-member/js/member-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/assets/img/portfolio/man.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/assets/img/portfolio/woman.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:35 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/memberReg.html HTTP/1.1" 200 21411
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/module/module-memberReg/css/memberReg-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/module/module-memberReg/css/memberReg-signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:44 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
